Week_Start,Week_End,WareHouseQuanity
2023-06-26,2023-07-02,846.0
2023-07-03,2023-07-09,1337.0
2023-07-10,2023-07-16,226.0
2023-07-17,2023-07-23,292.0
2023-07-24,2023-07-30,1894.0
2023-07-31,2023-08-06,1044.0
2023-08-07,2023-08-13,1044.0
2023-08-14,2023-08-20,1227.0
2023-08-21,2023-08-27,1165.0
2023-08-28,2023-09-03,1877.0
2023-09-04,2023-09-10,1694.0
2023-09-11,2023-09-17,882.0
2023-09-18,2023-09-24,909.0
2023-09-25,2023-10-01,1014.0
2023-10-02,2023-10-08,870.0
2023-10-09,2023-10-15,777.0
2023-10-16,2023-10-22,809.0
2023-10-23,2023-10-29,896.0
2023-10-30,2023-11-05,1164.0
2023-11-06,2023-11-12,3320.0
2023-11-13,2023-11-19,3164.0
2023-11-20,2023-11-26,5441.0
2023-11-27,2023-12-03,4087.0
2023-12-04,2023-12-10,1547.0
2023-12-11,2023-12-17,1124.0
2023-12-18,2023-12-24,767.0
2023-12-25,2023-12-31,1000.0
2024-01-01,2024-01-07,1273.0
2024-01-08,2024-01-14,1243.0
2024-01-15,2024-01-21,999.0
2024-01-22,2024-01-28,1134.0
2024-01-29,2024-02-04,1012.0
2024-02-05,2024-02-11,956.0
2024-02-12,2024-02-18,1215.0
2024-02-19,2024-02-25,1229.0
2024-02-26,2024-03-03,1091.0
2024-03-04,2024-03-10,1337.0
2024-03-11,2024-03-17,1335.0
2024-03-18,2024-03-24,1930.0
2024-03-25,2024-03-31,1406.0
2024-04-01,2024-04-07,1572.0
2024-04-08,2024-04-14,1526.0
2024-04-15,2024-04-21,1744.0
2024-04-22,2024-04-28,2417.0
2024-04-29,2024-05-05,1737.0
2024-05-06,2024-05-12,769.0
2024-05-13,2024-05-19,1166.0
2024-05-20,2024-05-26,1304.0
2024-05-27,2024-06-02,1904.0
2024-06-03,2024-06-09,981.0
2024-06-10,2024-06-16,1076.0
2024-06-17,2024-06-23,825.0
2024-06-24,2024-06-30,1101.0
2024-07-01,2024-07-07,1066.0
2024-07-08,2024-07-14,524.0
2024-07-15,2024-07-21,541.0
2024-07-22,2024-07-28,1300.0
2024-07-29,2024-08-04,1273.0
2024-08-05,2024-08-11,582.0
2024-08-12,2024-08-18,661.0
2024-08-19,2024-08-25,625.0
2024-08-26,2024-09-01,1088.0
2024-09-02,2024-09-08,1220.0
2024-09-09,2024-09-15,929.0
2024-09-16,2024-09-22,969.0
2024-09-23,2024-09-29,1107.0
2024-09-30,2024-10-06,1010.0
2024-10-07,2024-10-13,791.0
2024-10-14,2024-10-20,959.0
2024-10-21,2024-10-27,772.0
2024-10-28,2024-11-03,2313.0
2024-11-04,2024-11-10,3840.0
2024-11-11,2024-11-17,3856.0
2024-11-18,2024-11-24,4322.0
2024-11-25,2024-12-01,8970.0
2024-12-02,2024-12-08,6066.0
2024-12-09,2024-12-15,1367.0
2024-12-16,2024-12-22,990.0
2024-12-23,2024-12-29,926.0
2024-12-30,2025-01-05,1114.0
2025-01-06,2025-01-12,1528.0
2025-01-13,2025-01-19,1604.0
2025-01-20,2025-01-26,1422.0
2025-01-27,2025-02-02,1229.0
2025-02-03,2025-02-09,931.0
2025-02-10,2025-02-16,1228.0
2025-02-17,2025-02-23,1342.0
2025-02-24,2025-03-02,921.0
2025-03-03,2025-03-09,1129.0
2025-03-10,2025-03-16,1447.0
2025-03-17,2025-03-23,1322.0
2025-03-24,2025-03-30,1644.0
2025-03-31,2025-04-06,1275.0
2025-04-07,2025-04-13,1493.0
2025-04-14,2025-04-20,1512.0
2025-04-21,2025-04-27,1652.0
2025-04-28,2025-05-04,1489.0
