SKU,StartDate,EndDate,TotalOrders,TotalQuantity,ActiveDays,Status,Forecastability,Color
10AD01CV01,2023-09-08,2024-01-06,2,2.0,120,Inactive,Inactive,red
10AD01FNA02,2023-01-25,2024-03-07,676,833.0,407,Active,Forecastable,green
10AD01FNB02,2023-01-25,2024-04-29,630,789.0,460,Active,Forecastable,green
10AD01FNC02,2023-01-24,2024-04-04,659,828.0,436,Active,Forecastable,green
10AD01FND02,2023-01-25,2024-04-28,142,160.0,459,Active,Forecastable,green
10AD01FNE02,2023-01-24,2024-01-12,292,347.0,353,Inactive,Inactive,red
10AD01FNF02,2023-01-24,2024-04-19,371,450.0,451,Active,Forecastable,green
10AD01GRF01,2019-12-02,2023-07-01,18519,24306.0,1307,Inactive,Inactive,red
10AD01HRF01,2019-10-05,2023-05-19,808,1183.0,1322,Inactive,Inactive,red
10AD01KN095,2020-04-23,2023-01-25,24147,40568.0,1007,Inactive,Inactive,red
10AD01PC01,2022-05-21,2024-04-18,120,124.0,698,Active,Forecastable,green
10AD01TF01,2019-11-05,2024-04-29,20837,28831.0,1637,Active,Forecastable,green
10AD02CMPK1,2017-04-19,2024-04-29,92214,101849.0,2567,Active,Forecastable,green
10AD200CMPK1,2022-07-26,2024-04-29,18192,21161.0,643,Active,Forecastable,green
10AD200CV01,2023-08-21,2023-11-30,6,6.0,101,Inactive,Inactive,red
10AD200GRF01,2022-07-26,2024-04-29,4666,5709.0,643,Active,Forecastable,green
10AD200HRF01,2022-07-26,2024-04-29,3297,4127.0,643,Active,Forecastable,green
10AD200PRF03,2022-07-26,2024-04-29,3770,4398.0,643,Active,Forecastable,green
10AD250HRF01,2023-12-06,2024-03-08,2,2.0,93,Active,Not Forecastable,orange
10AD250PRF03,2023-11-27,2024-04-16,2,2.0,141,Active,Not Forecastable,orange
10AD300FC01,2023-09-06,2024-04-16,4,4.0,223,Active,Not Forecastable,orange
10AD300GRF01,2017-02-01,2024-04-25,147960,164533.0,2640,Active,Forecastable,green
10AD300GRF01-W,2019-07-28,2023-07-01,22571,27840.0,1434,Inactive,Inactive,red
10AD300HRF01,2017-02-01,2024-04-11,40594,53611.0,2626,Active,Forecastable,green
10AD300PRF03,2017-04-25,2024-04-22,34582,44367.0,2554,Active,Forecastable,green
10AD300PRF04,2023-06-28,2024-04-28,129,160.0,305,Active,Not Forecastable,orange
10AD350CMPK1,2023-06-28,2024-04-29,51978,64565.0,306,Active,Not Forecastable,orange
10AD350GRF01,2023-06-28,2024-04-29,9043,11360.0,306,Active,Not Forecastable,orange
10AD350HRF01,2023-06-28,2024-04-29,9711,12859.0,306,Active,Not Forecastable,orange
10AD350PRF03,2023-06-28,2024-04-29,9660,11297.0,306,Active,Not Forecastable,orange
10AD500CMPK1,2023-10-03,2024-02-22,3,3.0,142,Active,Not Forecastable,orange
10AD500CV01,2024-03-26,2024-04-16,3,3.0,21,Active,Not Forecastable,orange
10AD500GRF02,2021-05-28,2024-04-29,4979,5587.0,1067,Active,Forecastable,green
10AD500HRF02,2021-06-04,2024-04-29,8877,9502.0,1060,Active,Forecastable,green
10AD500PRF02,2021-05-27,2024-04-29,2817,3458.0,1068,Active,Forecastable,green
10AD500PRF04C,2022-05-06,2024-04-27,66,80.0,722,Active,Forecastable,green
10AD550CMPK1,2023-05-24,2024-04-29,10937,11795.0,341,Active,Not Forecastable,orange
10AD550GRF02,2023-05-24,2024-04-29,2815,3091.0,341,Active,Not Forecastable,orange
10AD550HRF02,2022-10-20,2024-04-29,3083,3611.0,557,Active,Forecastable,green
10ST01TS01,2022-01-22,2022-01-22,2,2.0,0,Inactive,Inactive,red
30AD01B001,2023-10-17,2024-04-17,602,629.0,183,Active,Not Forecastable,orange
30AD01B002,2022-12-03,2024-04-24,3018,3134.0,508,Active,Forecastable,green
30AD01B003,2022-12-03,2024-04-27,3109,3195.0,511,Active,Forecastable,green
30AD01B004,2023-09-13,2023-12-06,521,528.0,84,Inactive,Inactive,red
30AD01B005,2022-12-03,2024-04-02,370,385.0,486,Active,Forecastable,green
30AD01B006,2023-04-18,2024-03-08,140,145.0,325,Active,Not Forecastable,orange
30AD01B007,2023-03-27,2023-09-11,232,241.0,168,Inactive,Inactive,red
30AD01B008,2023-03-27,2024-04-15,601,613.0,385,Active,Forecastable,green
30AD01B009,2023-11-01,2024-01-26,973,988.0,86,Inactive,Inactive,red
30AD01B010,2023-11-01,2024-01-03,222,222.0,63,Inactive,Inactive,red
30AD01B011,2024-03-23,2024-04-09,126,136.0,17,Active,Not Forecastable,orange
30AD01B012,2024-03-23,2024-04-09,60,64.0,17,Active,Not Forecastable,orange
30AD01B013,2024-04-11,2024-04-29,78,83.0,18,Active,Not Forecastable,orange
30AD01B014,2024-04-11,2024-04-29,114,115.0,18,Active,Not Forecastable,orange
30AD01B015,2024-04-09,2024-04-29,215,222.0,20,Active,Not Forecastable,orange
30AD01B016,2024-04-09,2024-04-29,120,122.0,20,Active,Not Forecastable,orange
30AD02CMPK2,2023-11-20,2024-04-29,3252,3635.0,161,Active,Not Forecastable,orange
30AD250CMPK1,2023-12-22,2024-04-25,14,18.0,125,Active,Not Forecastable,orange
30AD500CMPK1,2022-10-20,2024-04-29,4101,4248.0,557,Active,Forecastable,green
40AD01TWC301,2021-05-25,2024-04-29,1968,2133.0,1070,Active,Forecastable,green
40AD01TWC501,2023-03-29,2024-03-19,65,68.0,356,Active,Not Forecastable,orange
40AD01WC301,2017-03-30,2024-04-29,8479,8961.0,2587,Active,Forecastable,green
40AD01WC501,2018-06-30,2024-04-22,8808,9974.0,2123,Active,Forecastable,green
40AD01WLDH01,2023-07-14,2023-07-14,1,1.0,0,Inactive,Inactive,red
40AD02WC301,2021-05-26,2024-04-29,2255,2349.0,1069,Active,Forecastable,green
40AD02WC501,2021-09-18,2024-04-19,328,331.0,944,Active,Forecastable,green
40AD100MN01,2022-12-09,2024-04-14,21,23.0,492,Active,Forecastable,green
40AD200WC301,2022-07-26,2024-04-29,1671,1843.0,643,Active,Forecastable,green
40AD200WC501,2023-06-09,2024-04-12,137,139.0,308,Active,Not Forecastable,orange
40AD300MN01,2022-11-29,2024-04-12,70,73.0,500,Active,Forecastable,green
40AD500MN01,2022-12-08,2023-11-24,14,15.0,351,Inactive,Inactive,red
90AD01AC01,2021-07-30,2024-03-30,242,288.0,974,Active,Forecastable,green
90AD01AD01,2016-12-23,2023-07-01,279511,324514.0,2381,Inactive,Inactive,red
90AD01AD01-HD,2021-12-17,2024-04-26,125,145.0,861,Active,Forecastable,green
90AD01AT01-W,2019-08-16,2024-04-29,36153,42985.0,1718,Active,Forecastable,green
90AD02AC01,2021-06-16,2024-02-06,55,58.0,965,Active,Forecastable,green
90AD02AD01,2021-05-25,2023-06-30,26681,28398.0,766,Inactive,Inactive,red
90AD200AD01,2022-06-04,2024-04-29,37051,42489.0,695,Active,Forecastable,green
90AD200SC01,2023-10-09,2024-04-28,1463,1745.0,202,Active,Not Forecastable,orange
90AD250AD01,2024-01-19,2024-04-19,30,36.0,91,Active,Not Forecastable,orange
90AD350AD01,2022-09-15,2024-04-29,39458,44148.0,592,Active,Forecastable,green
90AD350SC01,2023-08-07,2024-04-29,4598,5116.0,266,Active,Not Forecastable,orange
90AD500AD01,2023-06-01,2024-04-29,132,142.0,333,Active,Not Forecastable,orange
90AD550AD01,2022-09-15,2024-04-29,10385,11123.0,592,Active,Forecastable,green
90AD550SC01,2023-08-11,2024-04-29,1837,2017.0,262,Active,Not Forecastable,orange
90AT01SCB01,2022-11-08,2023-03-01,181,183.0,113,Inactive,Inactive,red
90AT03AT01,2019-07-16,2023-06-05,1283,1734.0,1420,Inactive,Inactive,red
90AT100AT01,2022-11-08,2022-12-24,133,133.0,46,Inactive,Inactive,red
90IL01BJG01,2018-11-09,2019-06-05,544,591.0,208,Inactive,Inactive,red
90ST01ST01,2021-04-22,2023-12-22,682,704.0,974,Inactive,Inactive,red
ATNI,2019-11-25,2022-10-14,1566,1703.0,1054,Inactive,Inactive,red
BOGUS SKU,2017-07-26,2022-04-06,29,30.0,1715,Inactive,Inactive,red
