Start_Week,End_Week,Actual_WareHouseQuanity,Predicted_WareHouseQuanity,Difference_Between_Predicted_And_Actual,Percent_Difference
2024-01-01,2024-01-07,254.0,697.6038260589356,443.6038260589356,174.65%
2024-01-08,2024-01-14,41.0,662.1169280737649,621.1169280737649,1514.92%
2024-01-15,2024-01-21,87.0,683.4990083622058,596.4990083622058,685.63%
2024-01-22,2024-01-28,231.0,672.6389141662829,441.6389141662829,191.19%
2024-01-29,2024-02-04,19.0,695.7788280336902,676.7788280336902,3561.99%
2024-02-05,2024-02-11,41.0,699.3023492031957,658.3023492031957,1605.62%
2024-02-12,2024-02-18,67.0,690.9042076894411,623.9042076894411,931.2%
2024-02-19,2024-02-25,157.0,790.5616415862363,633.5616415862363,403.54%
2024-02-26,2024-03-03,84.0,741.8794165978009,657.8794165978009,783.19%
2024-03-04,2024-03-10,349.0,763.4272964625666,414.4272964625666,118.75%
2024-03-11,2024-03-17,219.0,731.3135895339914,512.3135895339914,233.93%
2024-03-18,2024-03-24,246.0,670.5572508481384,424.55725084813844,172.58%
2024-03-25,2024-03-31,45.0,650.601214543773,605.601214543773,1345.78%
2024-04-01,2024-04-07,130.0,706.4376657752739,576.4376657752739,443.41%
2024-04-08,2024-04-14,173.0,793.3620122466835,620.3620122466835,358.59%
2024-04-15,2024-04-21,91.0,833.7719253857779,742.7719253857779,816.23%
2024-04-22,2024-04-28,78.0,802.5960370575787,724.5960370575787,928.97%
