Start_Week,End_Week,Actual_WareHouseQuantity,Predicted_WareHouseQuantity,Difference_Between_Predicted_And_Actual,Percent_Difference,Minus_10_Percent,Plus_10_Percent,Within_10_Percent
2025-04-07,2025-04-13,738.0,610,-127.79899054871532,-17.32%,664,812,Out of Range
2025-04-14,2025-04-20,432.0,293,-138.95874078587053,-32.17%,389,475,Out of Range
2025-04-21,2025-04-27,541.0,384,-156.9993762356072,-29.02%,487,595,Out of Range
2025-04-28,2025-05-04,509.0,459,-50.168234690812426,-9.86%,458,560,Acceptable
2025-05-05,2025-05-11,506.0,437,-69.2041069849164,-13.68%,455,557,Out of Range
2025-05-12,2025-05-18,486.0,517,31.484444248138857,6.48%,437,535,Acceptable
2025-05-19,2025-05-25,318.0,360,42.22024216274491,13.28%,286,350,Out of Range
2025-05-26,2025-06-01,414.0,453,38.96786361408704,9.41%,373,455,Acceptable
2025-06-02,2025-06-08,375.0,668,292.79868145074215,78.08%,338,413,Out of Range
2025-06-09,2025-06-15,474.0,619,145.37343790739612,30.67%,427,521,Out of Range
2025-06-16,2025-06-22,475.0,643,168.4975944000072,35.47%,428,522,Out of Range
2025-06-23,2025-06-29,390.0,582,192.10853742058043,49.26%,351,429,Out of Range
2025-06-30,2025-07-06,388.0,451,63.1737854919478,16.28%,349,427,Out of Range
