Start_Week,End_Week,Actual_WareHouseQuantity,Predicted_WareHouseQuantity,Difference_Between_Predicted_And_Actual,Percent_Difference,Minus_10_Percent,Plus_10_Percent,Within_10_Percent
2025-04-07,2025-04-13,737.9999999999999,664,-73.99999999999989,-10.03%,664,812,Acceptable
2025-04-14,2025-04-20,432.0,685,253.0,58.56%,389,475,Out of Range
2025-04-21,2025-04-27,541.0,682,141.0,26.06%,487,595,Out of Range
2025-04-28,2025-05-04,509.00000000000006,660,150.99999999999994,29.67%,458,560,Out of Range
2025-05-05,2025-05-11,506.0,662,156.0,30.83%,455,557,Out of Range
2025-05-12,2025-05-18,485.99999999999994,633,147.00000000000006,30.25%,437,535,Out of Range
2025-05-19,2025-05-25,318.0,642,324.0,101.89%,286,350,Out of Range
2025-05-26,2025-06-01,414.00000000000006,627,212.99999999999994,51.45%,373,455,Out of Range
2025-06-02,2025-06-08,375.0,615,240.0,64.0%,338,413,Out of Range
2025-06-09,2025-06-15,474.0,600,126.0,26.58%,427,521,Out of Range
2025-06-16,2025-06-22,475.0,592,117.0,24.63%,428,522,Out of Range
2025-06-23,2025-06-29,390.0,608,218.0,55.9%,351,429,Out of Range
2025-06-30,2025-07-06,388.0,610,222.0,57.22%,349,427,Out of Range
