Start_Week,End_Week,Actual_WareHouseQuantity,Predicted_WareHouseQuantity,Difference_Between_Predicted_And_Actual,Percent_Difference,Minus_10_Percent,Plus_10_Percent,Within_10_Percent
2025-04-07,2025-04-13,738.0,652,-86.20478919916104,-11.68%,664,812,Out of Range
2025-04-14,2025-04-20,432.0,524,92.1038113820299,21.32%,389,475,Out of Range
2025-04-21,2025-04-27,541.0,459,-81.84346442645551,-15.13%,487,595,Out of Range
2025-04-28,2025-05-04,509.0,433,-76.2305747697838,-14.98%,458,560,Out of Range
2025-05-05,2025-05-11,506.0,408,-97.97263685302028,-19.36%,455,557,Out of Range
2025-05-12,2025-05-18,486.0,381,-104.66602594952309,-21.54%,437,535,Out of Range
2025-05-19,2025-05-25,318.0,373,54.684671504340486,17.2%,286,350,Out of Range
2025-05-26,2025-06-01,414.0,392,-22.056244423064925,-5.33%,373,455,Acceptable
2025-06-02,2025-06-08,375.0,429,54.40202440529754,14.51%,338,413,Out of Range
2025-06-09,2025-06-15,474.0,474,-0.43957309127608823,-0.09%,427,521,Acceptable
2025-06-16,2025-06-22,475.0,515,39.51479744283927,8.32%,428,522,Acceptable
2025-06-23,2025-06-29,390.0,532,141.9696450206592,36.4%,351,429,Out of Range
2025-06-30,2025-07-06,388.0,497,109.19385385595513,28.14%,349,427,Out of Range
