,SKU,WeekStart,Actual_WareHouseQuantity,Predicted_WareHouseQuantity,Difference_Between_Predicted_And_Actual,Percent_Difference,Minus_10_Percent,Plus_10_Percent,Within_10_Percent
0,10AD01FNA02,2025-06-30,14,16,-2,-14.29,12,16,Acceptable
1,10AD01FNA02,2025-07-07,9,13,-4,-44.44,8,10,Out_of_Range
2,10AD01FNA02,2025-07-14,11,11,0,0.0,9,13,Acceptable
3,10AD01FNB02,2025-06-30,23,12,11,47.83,20,26,Out_of_Range
4,10AD01FNB02,2025-07-07,12,12,0,0.0,10,14,Acceptable
5,10AD01FNB02,2025-07-14,13,11,2,15.38,11,15,Acceptable
6,10AD01FNC02,2025-06-30,15,22,-7,-46.67,13,17,Out_of_Range
7,10AD01FNC02,2025-07-07,13,18,-5,-38.46,11,15,Out_of_Range
8,10AD01FNC02,2025-07-14,9,11,-2,-22.22,8,10,Out_of_Range
9,10AD01FND02,2025-06-30,6,5,1,16.67,5,7,Acceptable
10,10AD01FND02,2025-07-07,2,3,-1,-50.0,1,3,Acceptable
11,10AD01FND02,2025-07-14,3,3,0,0.0,2,4,Acceptable
12,10AD01FNE02,2025-06-30,8,8,0,0.0,7,9,Acceptable
13,10AD01FNE02,2025-07-07,4,6,-2,-50.0,3,5,Out_of_Range
14,10AD01FNE02,2025-07-14,5,6,-1,-20.0,4,6,Acceptable
15,10AD01FNF02,2025-06-30,6,7,-1,-16.67,5,7,Acceptable
16,10AD01FNF02,2025-07-07,6,6,0,0.0,5,7,Acceptable
17,10AD01FNF02,2025-07-14,3,4,-1,-33.33,2,4,Acceptable
18,10AD01PC01,2025-06-16,2,1,1,50.0,1,3,Acceptable
19,10AD01PC01,2025-06-23,1,1,0,0.0,0,2,Acceptable
20,10AD01PC01,2025-06-30,1,2,-1,-100.0,0,2,Acceptable
21,10AD01TF01,2025-06-30,347,356,-9,-2.59,312,382,Acceptable
22,10AD01TF01,2025-07-07,260,335,-75,-28.85,234,286,Out_of_Range
23,10AD01TF01,2025-07-14,154,357,-203,-131.82,138,170,Out_of_Range
24,10AD02CMPK1,2025-06-30,704,431,273,38.78,633,775,Out_of_Range
25,10AD02CMPK1,2025-07-07,687,372,315,45.85,618,756,Out_of_Range
26,10AD02CMPK1,2025-07-14,439,384,55,12.53,395,483,Out_of_Range
27,10AD200CMPK1,2025-06-30,450,462,-12,-2.67,405,496,Acceptable
28,10AD200CMPK1,2025-07-07,385,421,-36,-9.35,346,424,Acceptable
29,10AD200CMPK1,2025-07-14,230,432,-202,-87.83,207,254,Out_of_Range
30,10AD200CV01,2025-06-23,0,0,0,,0,0,Acceptable
31,10AD200CV01,2025-06-30,0,0,0,,0,0,Acceptable
32,10AD200CV01,2025-07-07,1,1,0,0.0,0,2,Acceptable
33,10AD200GRF01,2025-06-30,103,99,4,3.88,92,114,Acceptable
34,10AD200GRF01,2025-07-07,88,79,9,10.23,79,97,Acceptable
35,10AD200GRF01,2025-07-14,53,67,-14,-26.42,47,59,Out_of_Range
36,10AD200HRF01,2025-06-30,84,61,23,27.38,75,93,Out_of_Range
37,10AD200HRF01,2025-07-07,50,54,-4,-8.0,45,56,Acceptable
38,10AD200HRF01,2025-07-14,41,58,-17,-41.46,36,46,Out_of_Range
39,10AD200PRF03,2025-06-30,56,45,11,19.64,50,62,Out_of_Range
40,10AD200PRF03,2025-07-07,39,40,-1,-2.56,35,43,Acceptable
41,10AD200PRF03,2025-07-14,19,39,-20,-105.26,17,21,Out_of_Range
42,10AD250GRF01,2025-06-23,5,5,0,0.0,4,6,Acceptable
43,10AD250GRF01,2025-06-30,7,4,3,42.86,6,8,Out_of_Range
44,10AD250GRF01,2025-07-07,5,6,-1,-20.0,4,6,Acceptable
45,10AD250HRF01,2025-06-23,3,2,1,33.33,2,4,Acceptable
46,10AD250HRF01,2025-06-30,2,2,0,0.0,1,3,Acceptable
47,10AD250HRF01,2025-07-07,1,3,-2,-200.0,0,2,Out_of_Range
48,10AD250PRF03,2025-05-26,0,1,-1,,0,0,Out_of_Range
49,10AD250PRF03,2025-06-02,1,1,0,0.0,0,2,Acceptable
50,10AD250PRF03,2025-06-09,1,1,0,0.0,0,2,Acceptable
51,10AD300GRF01,2025-06-30,50,68,-18,-36.0,45,56,Out_of_Range
52,10AD300GRF01,2025-07-07,57,60,-3,-5.26,51,63,Acceptable
53,10AD300GRF01,2025-07-14,42,63,-21,-50.0,37,47,Out_of_Range
54,10AD300HRF01,2025-06-30,106,104,2,1.89,95,117,Acceptable
55,10AD300HRF01,2025-07-07,110,94,16,14.55,99,122,Out_of_Range
56,10AD300HRF01,2025-07-14,69,91,-22,-31.88,62,76,Out_of_Range
57,10AD300PRF03,2025-06-30,39,35,4,10.26,35,43,Acceptable
58,10AD300PRF03,2025-07-07,36,34,2,5.56,32,40,Acceptable
59,10AD300PRF03,2025-07-14,34,36,-2,-5.88,30,38,Acceptable
60,10AD300PRF04,2025-06-16,0,1,-1,,0,0,Out_of_Range
61,10AD300PRF04,2025-06-23,0,2,-2,,0,0,Out_of_Range
62,10AD300PRF04,2025-06-30,1,3,-2,-200.0,0,2,Out_of_Range
63,10AD350CMPK1,2025-06-30,1477,1334,143,9.68,1329,1625,Acceptable
64,10AD350CMPK1,2025-07-07,1201,1234,-33,-2.75,1080,1322,Acceptable
65,10AD350CMPK1,2025-07-14,715,1306,-591,-82.66,643,787,Out_of_Range
66,10AD350GRF01,2025-06-30,220,242,-22,-10.0,198,243,Acceptable
67,10AD350GRF01,2025-07-07,210,236,-26,-12.38,189,232,Out_of_Range
