SKU,WeekStart,Predicted_Quantity,Method,Prediction_Week
10AD01FNA02,2024-05-06,7.75,Moving_Average_4W,1
10AD01FNA02,2024-05-13,7.75,Moving_Average_4W,2
10AD01FNA02,2024-05-20,7.75,Moving_Average_4W,3
10AD01FNA02,2024-05-27,7.75,Moving_Average_4W,4
10AD01FNB02,2024-05-06,6.75,Moving_Average_4W,1
10AD01FNB02,2024-05-13,6.75,Moving_Average_4W,2
10AD01FNB02,2024-05-20,6.75,Moving_Average_4W,3
10AD01FNB02,2024-05-27,6.75,Moving_Average_4W,4
10AD01FNC02,2024-05-06,5.5,Moving_Average_4W,1
10AD01FNC02,2024-05-13,5.5,Moving_Average_4W,2
10AD01FNC02,2024-05-20,5.5,Moving_Average_4W,3
10AD01FNC02,2024-05-27,5.5,Moving_Average_4W,4
10AD01FND02,2024-05-06,1.5,Moving_Average_4W,1
10AD01FND02,2024-05-13,1.5,Moving_Average_4W,2
10AD01FND02,2024-05-20,1.5,Moving_Average_4W,3
10AD01FND02,2024-05-27,1.5,Moving_Average_4W,4
10AD01FNF02,2024-05-06,7.5,Moving_Average_4W,1
10AD01FNF02,2024-05-13,7.5,Moving_Average_4W,2
10AD01FNF02,2024-05-20,7.5,Moving_Average_4W,3
10AD01FNF02,2024-05-27,7.5,Moving_Average_4W,4
10AD01PC01,2024-05-06,3.0,Moving_Average_4W,1
10AD01PC01,2024-05-13,3.0,Moving_Average_4W,2
10AD01PC01,2024-05-20,3.0,Moving_Average_4W,3
10AD01PC01,2024-05-27,3.0,Moving_Average_4W,4
10AD01TF01,2024-05-06,339.5,Moving_Average_4W,1
10AD01TF01,2024-05-13,339.5,Moving_Average_4W,2
10AD01TF01,2024-05-20,339.5,Moving_Average_4W,3
10AD01TF01,2024-05-27,339.5,Moving_Average_4W,4
10AD02CMPK1,2024-05-06,89.0,Moving_Average_4W,1
10AD02CMPK1,2024-05-13,89.0,Moving_Average_4W,2
10AD02CMPK1,2024-05-20,89.0,Moving_Average_4W,3
10AD02CMPK1,2024-05-27,89.0,Moving_Average_4W,4
10AD200CMPK1,2024-05-06,317.5,Moving_Average_4W,1
10AD200CMPK1,2024-05-13,317.5,Moving_Average_4W,2
10AD200CMPK1,2024-05-20,317.5,Moving_Average_4W,3
10AD200CMPK1,2024-05-27,317.5,Moving_Average_4W,4
10AD200GRF01,2024-05-06,63.25,Moving_Average_4W,1
10AD200GRF01,2024-05-13,63.25,Moving_Average_4W,2
10AD200GRF01,2024-05-20,63.25,Moving_Average_4W,3
10AD200GRF01,2024-05-27,63.25,Moving_Average_4W,4
10AD200HRF01,2024-05-06,45.5,Moving_Average_4W,1
10AD200HRF01,2024-05-13,45.5,Moving_Average_4W,2
10AD200HRF01,2024-05-20,45.5,Moving_Average_4W,3
10AD200HRF01,2024-05-27,45.5,Moving_Average_4W,4
10AD200PRF03,2024-05-06,53.25,Moving_Average_4W,1
10AD200PRF03,2024-05-13,53.25,Moving_Average_4W,2
10AD200PRF03,2024-05-20,53.25,Moving_Average_4W,3
10AD200PRF03,2024-05-27,53.25,Moving_Average_4W,4
10AD300GRF01,2024-05-06,4.0,Moving_Average_4W,1
10AD300GRF01,2024-05-13,4.0,Moving_Average_4W,2
10AD300GRF01,2024-05-20,4.0,Moving_Average_4W,3
10AD300GRF01,2024-05-27,4.0,Moving_Average_4W,4
10AD300HRF01,2024-05-06,28.5,Moving_Average_4W,1
10AD300HRF01,2024-05-13,28.5,Moving_Average_4W,2
10AD300HRF01,2024-05-20,28.5,Moving_Average_4W,3
10AD300HRF01,2024-05-27,28.5,Moving_Average_4W,4
10AD300PRF03,2024-05-06,2.75,Moving_Average_4W,1
10AD300PRF03,2024-05-13,2.75,Moving_Average_4W,2
10AD300PRF03,2024-05-20,2.75,Moving_Average_4W,3
10AD300PRF03,2024-05-27,2.75,Moving_Average_4W,4
10AD500GRF02,2024-05-06,2.0,Moving_Average_4W,1
10AD500GRF02,2024-05-13,2.0,Moving_Average_4W,2
10AD500GRF02,2024-05-20,2.0,Moving_Average_4W,3
10AD500GRF02,2024-05-27,2.0,Moving_Average_4W,4
10AD500HRF02,2024-05-06,1.75,Moving_Average_4W,1
10AD500HRF02,2024-05-13,1.75,Moving_Average_4W,2
10AD500HRF02,2024-05-20,1.75,Moving_Average_4W,3
10AD500HRF02,2024-05-27,1.75,Moving_Average_4W,4
10AD500PRF02,2024-05-06,26.75,Moving_Average_4W,1
10AD500PRF02,2024-05-13,26.75,Moving_Average_4W,2
10AD500PRF02,2024-05-20,26.75,Moving_Average_4W,3
10AD500PRF02,2024-05-27,26.75,Moving_Average_4W,4
10AD500PRF04C,2024-05-06,3.25,Moving_Average_4W,1
10AD500PRF04C,2024-05-13,3.25,Moving_Average_4W,2
10AD500PRF04C,2024-05-20,3.25,Moving_Average_4W,3
10AD500PRF04C,2024-05-27,3.25,Moving_Average_4W,4
10AD550HRF02,2024-05-06,50.25,Moving_Average_4W,1
10AD550HRF02,2024-05-13,50.25,Moving_Average_4W,2
10AD550HRF02,2024-05-20,50.25,Moving_Average_4W,3
10AD550HRF02,2024-05-27,50.25,Moving_Average_4W,4
30AD01B002,2024-05-06,201.5,Moving_Average_4W,1
30AD01B002,2024-05-13,201.5,Moving_Average_4W,2
30AD01B002,2024-05-20,201.5,Moving_Average_4W,3
30AD01B002,2024-05-27,201.5,Moving_Average_4W,4
30AD01B003,2024-05-06,62.75,Moving_Average_4W,1
30AD01B003,2024-05-13,62.75,Moving_Average_4W,2
30AD01B003,2024-05-20,62.75,Moving_Average_4W,3
30AD01B003,2024-05-27,62.75,Moving_Average_4W,4
30AD01B005,2024-05-06,1.25,Moving_Average_4W,1
30AD01B005,2024-05-13,1.25,Moving_Average_4W,2
30AD01B005,2024-05-20,1.25,Moving_Average_4W,3
30AD01B005,2024-05-27,1.25,Moving_Average_4W,4
30AD01B008,2024-05-06,76.25,Moving_Average_4W,1
30AD01B008,2024-05-13,76.25,Moving_Average_4W,2
30AD01B008,2024-05-20,76.25,Moving_Average_4W,3
30AD01B008,2024-05-27,76.25,Moving_Average_4W,4
30AD500CMPK1,2024-05-06,5.75,Moving_Average_4W,1
30AD500CMPK1,2024-05-13,5.75,Moving_Average_4W,2
30AD500CMPK1,2024-05-20,5.75,Moving_Average_4W,3
30AD500CMPK1,2024-05-27,5.75,Moving_Average_4W,4
40AD01TWC301,2024-05-06,2.75,Moving_Average_4W,1
40AD01TWC301,2024-05-13,2.75,Moving_Average_4W,2
40AD01TWC301,2024-05-20,2.75,Moving_Average_4W,3
40AD01TWC301,2024-05-27,2.75,Moving_Average_4W,4
40AD01WC301,2024-05-06,21.5,Moving_Average_4W,1
40AD01WC301,2024-05-13,21.5,Moving_Average_4W,2
40AD01WC301,2024-05-20,21.5,Moving_Average_4W,3
40AD01WC301,2024-05-27,21.5,Moving_Average_4W,4
40AD01WC501,2024-05-06,2.0,Moving_Average_4W,1
40AD01WC501,2024-05-13,2.0,Moving_Average_4W,2
40AD01WC501,2024-05-20,2.0,Moving_Average_4W,3
40AD01WC501,2024-05-27,2.0,Moving_Average_4W,4
40AD02WC301,2024-05-06,8.5,Moving_Average_4W,1
40AD02WC301,2024-05-13,8.5,Moving_Average_4W,2
40AD02WC301,2024-05-20,8.5,Moving_Average_4W,3
40AD02WC301,2024-05-27,8.5,Moving_Average_4W,4
40AD02WC501,2024-05-06,1.0,Moving_Average_4W,1
40AD02WC501,2024-05-13,1.0,Moving_Average_4W,2
40AD02WC501,2024-05-20,1.0,Moving_Average_4W,3
40AD02WC501,2024-05-27,1.0,Moving_Average_4W,4
40AD100MN01,2024-05-06,1.5,Moving_Average_4W,1
40AD100MN01,2024-05-13,1.5,Moving_Average_4W,2
40AD100MN01,2024-05-20,1.5,Moving_Average_4W,3
40AD100MN01,2024-05-27,1.5,Moving_Average_4W,4
40AD200WC301,2024-05-06,13.0,Moving_Average_4W,1
40AD200WC301,2024-05-13,13.0,Moving_Average_4W,2
40AD200WC301,2024-05-20,13.0,Moving_Average_4W,3
40AD200WC301,2024-05-27,13.0,Moving_Average_4W,4
40AD300MN01,2024-05-06,2.25,Moving_Average_4W,1
40AD300MN01,2024-05-13,2.25,Moving_Average_4W,2
40AD300MN01,2024-05-20,2.25,Moving_Average_4W,3
40AD300MN01,2024-05-27,2.25,Moving_Average_4W,4
90AD01AC01,2024-05-06,2.75,Moving_Average_4W,1
90AD01AC01,2024-05-13,2.75,Moving_Average_4W,2
90AD01AC01,2024-05-20,2.75,Moving_Average_4W,3
90AD01AC01,2024-05-27,2.75,Moving_Average_4W,4
90AD01AD01-HD,2024-05-06,1.0,Moving_Average_4W,1
90AD01AD01-HD,2024-05-13,1.0,Moving_Average_4W,2
90AD01AD01-HD,2024-05-20,1.0,Moving_Average_4W,3
90AD01AD01-HD,2024-05-27,1.0,Moving_Average_4W,4
90AD01AT01-W,2024-05-06,78.25,Moving_Average_4W,1
90AD01AT01-W,2024-05-13,78.25,Moving_Average_4W,2
90AD01AT01-W,2024-05-20,78.25,Moving_Average_4W,3
90AD01AT01-W,2024-05-27,78.25,Moving_Average_4W,4
90AD02AC01,2024-05-06,1.0,Moving_Average_4W,1
90AD02AC01,2024-05-13,1.0,Moving_Average_4W,2
90AD02AC01,2024-05-20,1.0,Moving_Average_4W,3
90AD02AC01,2024-05-27,1.0,Moving_Average_4W,4
90AD200AD01,2024-05-06,141.5,Moving_Average_4W,1
90AD200AD01,2024-05-13,141.5,Moving_Average_4W,2
90AD200AD01,2024-05-20,141.5,Moving_Average_4W,3
90AD200AD01,2024-05-27,141.5,Moving_Average_4W,4
90AD350AD01,2024-05-06,436.5,Moving_Average_4W,1
90AD350AD01,2024-05-13,436.5,Moving_Average_4W,2
90AD350AD01,2024-05-20,436.5,Moving_Average_4W,3
90AD350AD01,2024-05-27,436.5,Moving_Average_4W,4
90AD550AD01,2024-05-06,67.25,Moving_Average_4W,1
90AD550AD01,2024-05-13,67.25,Moving_Average_4W,2
90AD550AD01,2024-05-20,67.25,Moving_Average_4W,3
90AD550AD01,2024-05-27,67.25,Moving_Average_4W,4
