SKU,WeekStart,Actual_Quantity,Predicted_Quantity,Method,Absolute_Error,Percentage_Error
10AD01FNA02,2024-03-04,2.0,12.38,Moving_Average_8W,10.375,518.75
10AD01FNB02,2024-02-05,3.0,9.5,Moving_Average_8W,6.5,216.66666666666666
10AD01FNB02,2024-02-12,18.0,9.5,Moving_Average_8W,8.5,47.22222222222222
10AD01FNB02,2024-02-19,9.0,9.5,Moving_Average_8W,0.5,5.555555555555555
10AD01FNB02,2024-02-26,10.0,9.5,Moving_Average_8W,0.5,5.0
10AD01FNB02,2024-03-04,10.0,9.5,Moving_Average_8W,0.5,5.0
10AD01FNB02,2024-03-11,18.0,9.5,Moving_Average_8W,8.5,47.22222222222222
10AD01FNB02,2024-03-18,10.0,9.5,Moving_Average_8W,0.5,5.0
10AD01FNB02,2024-03-25,8.0,9.5,Moving_Average_8W,1.5,18.75
10AD01FNB02,2024-04-01,11.0,9.5,Moving_Average_8W,1.5,13.636363636363635
10AD01FNB02,2024-04-08,7.0,9.5,Moving_Average_8W,2.5,35.714285714285715
10AD01FNB02,2024-04-15,12.0,9.5,Moving_Average_8W,2.5,20.833333333333336
10AD01FNB02,2024-04-22,7.0,9.5,Moving_Average_8W,2.5,35.714285714285715
10AD01FNB02,2024-04-29,1.0,9.5,Moving_Average_8W,8.5,850.0
10AD01FNC02,2024-02-05,11.0,9.88,Moving_Average_8W,1.125,10.227272727272728
10AD01FNC02,2024-02-12,5.0,9.88,Moving_Average_8W,4.875,97.5
10AD01FNC02,2024-02-19,5.0,9.88,Moving_Average_8W,4.875,97.5
10AD01FNC02,2024-02-26,19.0,9.88,Moving_Average_8W,9.125,48.026315789473685
10AD01FNC02,2024-03-04,4.0,9.88,Moving_Average_8W,5.875,146.875
10AD01FNC02,2024-03-11,15.0,9.88,Moving_Average_8W,5.125,34.166666666666664
10AD01FNC02,2024-03-18,4.0,9.88,Moving_Average_8W,5.875,146.875
10AD01FNC02,2024-03-25,1.0,9.88,Moving_Average_8W,8.875,887.5
10AD01FNC02,2024-04-01,2.0,9.88,Moving_Average_8W,7.875,393.75
10AD01FND02,2024-02-05,1.0,3.38,Moving_Average_8W,2.375,237.5
10AD01FND02,2024-02-12,2.0,3.38,Moving_Average_8W,1.375,68.75
10AD01FND02,2024-02-26,1.0,3.38,Moving_Average_8W,2.375,237.5
10AD01FND02,2024-03-04,1.0,3.38,Moving_Average_8W,2.375,237.5
10AD01FND02,2024-04-01,1.0,3.38,Moving_Average_8W,2.375,237.5
10AD01FND02,2024-04-08,1.0,3.38,Moving_Average_8W,2.375,237.5
10AD01FND02,2024-04-15,1.0,3.38,Moving_Average_8W,2.375,237.5
10AD01FND02,2024-04-22,3.0,3.38,Moving_Average_8W,0.375,12.5
10AD01FNF02,2024-02-12,2.0,12.5,Moving_Average_8W,10.5,525.0
10AD01FNF02,2024-04-08,3.0,12.5,Moving_Average_8W,9.5,316.66666666666663
10AD01FNF02,2024-04-15,15.0,12.5,Moving_Average_8W,2.5,16.666666666666664
10AD01PC01,2024-02-12,1.0,2.0,Moving_Average_8W,1.0,100.0
10AD01PC01,2024-03-11,2.0,2.0,Moving_Average_8W,0.0,0.0
10AD01PC01,2024-03-18,4.0,2.0,Moving_Average_8W,2.0,50.0
10AD01PC01,2024-03-25,4.0,2.0,Moving_Average_8W,2.0,50.0
10AD01PC01,2024-04-15,2.0,2.0,Moving_Average_8W,0.0,0.0
10AD01TF01,2024-02-05,237.0,297.5,Moving_Average_8W,60.5,25.52742616033755
10AD01TF01,2024-02-12,307.0,297.5,Moving_Average_8W,9.5,3.0944625407166124
10AD01TF01,2024-02-19,400.0,297.5,Moving_Average_8W,102.5,25.624999999999996
10AD01TF01,2024-02-26,313.0,297.5,Moving_Average_8W,15.5,4.952076677316294
10AD01TF01,2024-03-04,416.0,297.5,Moving_Average_8W,118.5,28.485576923076923
10AD01TF01,2024-03-11,398.0,297.5,Moving_Average_8W,100.5,25.251256281407038
10AD01TF01,2024-03-18,556.0,297.5,Moving_Average_8W,258.5,46.492805755395686
10AD01TF01,2024-03-25,341.0,297.5,Moving_Average_8W,43.5,12.756598240469208
10AD01TF01,2024-04-01,431.0,297.5,Moving_Average_8W,133.5,30.97447795823666
10AD01TF01,2024-04-08,365.0,297.5,Moving_Average_8W,67.5,18.493150684931507
10AD01TF01,2024-04-15,391.0,297.5,Moving_Average_8W,93.5,23.91304347826087
10AD01TF01,2024-04-22,485.0,297.5,Moving_Average_8W,187.5,38.659793814432994
10AD01TF01,2024-04-29,117.0,297.5,Moving_Average_8W,180.5,154.27350427350427
10AD02CMPK1,2024-02-05,41.0,148.88,Moving_Average_8W,107.875,263.10975609756093
10AD02CMPK1,2024-02-12,67.0,148.88,Moving_Average_8W,81.875,122.20149253731343
10AD02CMPK1,2024-02-19,157.0,148.88,Moving_Average_8W,8.125,5.17515923566879
10AD02CMPK1,2024-02-26,84.0,148.88,Moving_Average_8W,64.875,77.23214285714286
10AD02CMPK1,2024-03-04,349.0,148.88,Moving_Average_8W,200.125,57.34240687679083
10AD02CMPK1,2024-03-11,219.0,148.88,Moving_Average_8W,70.125,32.02054794520548
10AD02CMPK1,2024-03-18,246.0,148.88,Moving_Average_8W,97.125,39.48170731707317
10AD02CMPK1,2024-03-25,45.0,148.88,Moving_Average_8W,103.875,230.83333333333331
10AD02CMPK1,2024-04-01,130.0,148.88,Moving_Average_8W,18.875,14.51923076923077
10AD02CMPK1,2024-04-08,173.0,148.88,Moving_Average_8W,24.125,13.94508670520231
10AD02CMPK1,2024-04-15,91.0,148.88,Moving_Average_8W,57.875,63.598901098901095
10AD02CMPK1,2024-04-22,78.0,148.88,Moving_Average_8W,70.875,90.86538461538461
10AD02CMPK1,2024-04-29,14.0,148.88,Moving_Average_8W,134.875,963.3928571428571
10AD200CMPK1,2024-02-05,195.0,256.5,Moving_Average_8W,61.5,31.538461538461537
10AD200CMPK1,2024-02-12,259.0,256.5,Moving_Average_8W,2.5,0.9652509652509652
10AD200CMPK1,2024-02-19,302.0,256.5,Moving_Average_8W,45.5,15.066225165562914
10AD200CMPK1,2024-02-26,237.0,256.5,Moving_Average_8W,19.5,8.227848101265822
10AD200CMPK1,2024-03-04,238.0,256.5,Moving_Average_8W,18.5,7.773109243697479
10AD200CMPK1,2024-03-11,280.0,256.5,Moving_Average_8W,23.5,8.392857142857142
